Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_104,VGND,li1,53.5900,59.8400,0.000054
FILLER_17_97,VGND,li1,51.0600,59.8400,0.000054
FILLER_17_91,VGND,li1,48.0700,59.8400,0.000054
FILLER_17_85,VGND,li1,45.0800,59.8400,0.000054
FILLER_17_76,VGND,li1,41.4000,59.8400,0.000050
FILLER_17_70,VGND,li1,38.4100,59.8400,0.000047
FILLER_17_62,VGND,li1,34.9600,59.8400,0.000042
FILLER_17_57,VGND,li1,32.2000,59.8400,0.000039
FILLER_17_49,VGND,li1,28.7500,59.8400,0.000036
FILLER_17_29,VGND,li1,19.0900,59.8400,0.000031
FILLER_17_23,VGND,li1,16.3300,59.8400,0.000032
FILLER_16_106,VGND,li1,54.7400,54.4000,0.000018
FILLER_16_78,VGND,li1,42.7800,54.4000,0.000018
FILLER_16_13,VGND,li1,11.7300,54.4000,0.000013
FILLER_15_104,VGND,li1,53.5900,54.4000,0.000018
FILLER_15_100,VGND,li1,52.4400,54.4000,0.000018
FILLER_15_88,VGND,li1,48.7600,54.4000,0.000018
FILLER_15_69,VGND,li1,40.0200,54.4000,0.000017
FILLER_15_57,VGND,li1,34.5000,54.4000,0.000015
FILLER_15_54,VGND,li1,30.8200,54.4000,0.000014
FILLER_15_46,VGND,li1,26.9100,54.4000,0.000012
FILLER_15_38,VGND,li1,24.8400,54.4000,0.000010
FILLER_15_19,VGND,li1,14.4900,54.4000,0.000013
FILLER_14_99,VGND,li1,52.4400,48.9600,0.000010
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000009
FILLER_14_77,VGND,li1,42.3200,48.9600,0.000009
FILLER_14_65,VGND,li1,38.1800,48.9600,0.000009
FILLER_14_53,VGND,li1,32.6600,48.9600,0.000008
FILLER_14_41,VGND,li1,27.1400,48.9600,0.000007
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000009
FILLER_14_25,VGND,li1,17.7100,48.9600,0.000011
FILLER_13_106,VGND,li1,54.7400,48.9600,0.000010
FILLER_13_98,VGND,li1,52.4400,48.9600,0.000010
FILLER_13_89,VGND,li1,46.9200,48.9600,0.000010
FILLER_13_81,VGND,li1,44.6200,48.9600,0.000009
FILLER_13_69,VGND,li1,40.0200,48.9600,0.000009
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000008
FILLER_13_53,VGND,li1,30.5900,48.9600,0.000008
FILLER_13_45,VGND,li1,28.0600,48.9600,0.000007
FILLER_13_34,VGND,li1,22.0800,48.9600,0.000009
FILLER_13_22,VGND,li1,18.4000,48.9600,0.000011
FILLER_12_104,VGND,li1,53.5900,43.5200,0.000025
FILLER_12_98,VGND,li1,51.9800,43.5200,0.000024
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000021
FILLER_12_77,VGND,li1,42.3200,43.5200,0.000019
FILLER_12_65,VGND,li1,38.1800,43.5200,0.000017
FILLER_12_53,VGND,li1,32.6600,43.5200,0.000014
FILLER_12_41,VGND,li1,27.1400,43.5200,0.000011
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000010
FILLER_12_16,VGND,li1,15.6400,43.5200,0.000011
FILLER_11_101,VGND,li1,52.6700,43.5200,0.000025
FILLER_11_77,VGND,li1,41.6300,43.5200,0.000019
FILLER_11_69,VGND,li1,39.1000,43.5200,0.000017
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000015
FILLER_11_52,VGND,li1,30.3600,43.5200,0.000013
FILLER_11_44,VGND,li1,25.9900,43.5200,0.000009
FILLER_11_38,VGND,li1,24.3800,43.5200,0.000009
FILLER_11_29,VGND,li1,19.3200,43.5200,0.000010
FILLER_11_21,VGND,li1,17.0200,43.5200,0.000011
FILLER_11_3,VGND,li1,7.1300,43.5200,0.000012
FILLER_10_103,VGND,li1,53.1300,38.0800,0.000036
FILLER_10_97,VGND,li1,51.5200,38.0800,0.000035
FILLER_10_89,VGND,li1,46.6900,38.0800,0.000032
FILLER_10_85,VGND,li1,45.5400,38.0800,0.000030
FILLER_10_83,VGND,li1,43.9300,38.0800,0.000028
FILLER_10_77,VGND,li1,42.3200,38.0800,0.000028
FILLER_10_61,VGND,li1,34.0400,38.0800,0.000021
FILLER_10_49,VGND,li1,30.8200,38.0800,0.000018
FILLER_9_102,VGND,li1,52.9000,38.0800,0.000036
FILLER_9_94,VGND,li1,48.9900,38.0800,0.000033
FILLER_9_88,VGND,li1,47.3800,38.0800,0.000032
FILLER_9_76,VGND,li1,43.2400,38.0800,0.000028
FILLER_9_64,VGND,li1,37.7200,38.0800,0.000023
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000018
FILLER_9_51,VGND,li1,29.9000,38.0800,0.000018
FILLER_9_39,VGND,li1,26.2200,38.0800,0.000013
FILLER_9_27,VGND,li1,20.7000,38.0800,0.000014
FILLER_9_3,VGND,li1,7.3600,38.0800,0.000016
FILLER_8_102,VGND,li1,53.8200,32.6400,0.000022
FILLER_8_93,VGND,li1,48.7600,32.6400,0.000021
FILLER_8_85,VGND,li1,46.4600,32.6400,0.000020
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000018
FILLER_8_77,VGND,li1,42.3200,32.6400,0.000018
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000016
FILLER_8_53,VGND,li1,32.6600,32.6400,0.000012
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000009
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000008
FILLER_8_20,VGND,li1,16.5600,32.6400,0.000009
FILLER_7_101,VGND,li1,52.6700,32.6400,0.000022
FILLER_7_93,VGND,li1,50.1400,32.6400,0.000021
FILLER_7_69,VGND,li1,37.9500,32.6400,0.000016
FILLER_7_57,VGND,li1,34.5000,32.6400,0.000014
FILLER_7_48,VGND,li1,29.4400,32.6400,0.000011
FILLER_7_36,VGND,li1,24.8400,32.6400,0.000008
FILLER_7_24,VGND,li1,19.3200,32.6400,0.000009
FILLER_7_3,VGND,li1,7.1300,32.6400,0.000010
FILLER_6_103,VGND,li1,53.1300,27.2000,0.000025
FILLER_6_99,VGND,li1,51.9800,27.2000,0.000025
FILLER_6_91,VGND,li1,47.6100,27.2000,0.000023
FILLER_6_85,VGND,li1,46.0000,27.2000,0.000022
FILLER_6_78,VGND,li1,42.7800,27.2000,0.000021
FILLER_6_66,VGND,li1,38.6400,27.2000,0.000019
FILLER_6_58,VGND,li1,32.4300,27.2000,0.000014
